Array_size,Algorithm,Time,Trial_no
750,Insertion_sort,24.1546630859375,5
750,Insertion_sort,24.00064468383789,6
750,Insertion_sort,24.750947952270508,7
750,Insertion_sort,24.891138076782227,8
750,Insertion_sort,23.781776428222656,9
750,Insertion_sort,23.861408233642578,10
1000,Insertion_sort,44.979095458984375,1
1000,Insertion_sort,44.06309127807617,2
1000,Insertion_sort,45.32599449157715,3
1000,Insertion_sort,45.124053955078125,4
1000,Insertion_sort,44.72804069519043,5
1000,Insertion_sort,47.28078842163086,6
1000,Insertion_sort,45.25017738342285,7
1000,Insertion_sort,43.27821731567383,8
1000,Insertion_sort,44.654130935668945,9
1000,Insertion_sort,44.73423957824707,10
10,Merge_sort,0.04029273986816406,1
10,Merge_sort,0.015020370483398438,2
10,Merge_sort,0.015020370483398438,3
10,Merge_sort,0.03409385681152344,4
10,Merge_sort,0.030040740966796875,5
10,Merge_sort,0.014066696166992188,6
10,Merge_sort,0.015020370483398438,7
10,Merge_sort,0.014066696166992188,8
10,Merge_sort,0.014066696166992188,9
10,Merge_sort,0.050067901611328125,10
50,Merge_sort,0.09989738464355469,1
50,Merge_sort,0.09965896606445312,2
50,Merge_sort,0.09822845458984375,3
50,Merge_sort,0.09918212890625,4
50,Merge_sort,0.09894371032714844,5
50,Merge_sort,0.09894371032714844,6
50,Merge_sort,0.09989738464355469,7
50,Merge_sort,0.09822845458984375,8
50,Merge_sort,0.09107589721679688,9
50,Merge_sort,0.08511543273925781,10
100,Merge_sort,0.19097328186035156,1
100,Merge_sort,0.19025802612304688,2
100,Merge_sort,0.1900196075439453,3
100,Merge_sort,0.1900196075439453,4
100,Merge_sort,0.1888275146484375,5
100,Merge_sort,0.18978118896484375,6
100,Merge_sort,0.1900196075439453,7
100,Merge_sort,0.19025802612304688,8
100,Merge_sort,0.23698806762695312,9
100,Merge_sort,0.1888275146484375,10
125,Merge_sort,0.247955322265625,1
125,Merge_sort,0.24700164794921875,2
125,Merge_sort,0.2460479736328125,3
125,Merge_sort,0.2460479736328125,4
125,Merge_sort,0.2460479736328125,5
125,Merge_sort,0.24700164794921875,6
125,Merge_sort,0.2460479736328125,7
125,Merge_sort,0.24580955505371094,8
125,Merge_sort,0.24700164794921875,9
125,Merge_sort,0.24700164794921875,10
250,Merge_sort,0.5860328674316406,1
250,Merge_sort,0.5497932434082031,2
250,Merge_sort,0.6310939788818359,3
250,Merge_sort,0.5488395690917969,4
250,Merge_sort,0.5481243133544922,5
250,Merge_sort,0.5481243133544922,6
250,Merge_sort,0.5471706390380859,7
